field,rows,cols,file
D50_high,1,3,D50_high.csv
D50_low,1,3,D50_low.csv
EPT,9,1,EPT.csv
PPDQ_20C_L,9,3,PPDQ_20C_L.csv
PPDQ_20C_M,9,3,PPDQ_20C_M.csv
PPDQ_20C_S,9,3,PPDQ_20C_S.csv
PPDQ_40C_L,9,3,PPDQ_40C_L.csv
PPDQ_40C_M,9,3,PPDQ_40C_M.csv
PPDQ_40C_S,9,3,PPDQ_40C_S.csv
PPDQ_4C_L,9,3,PPDQ_4C_L.csv
PPDQ_4C_M,9,3,PPDQ_4C_M.csv
PPDQ_4C_S,9,3,PPDQ_4C_S.csv
PPD_20C_L,9,3,PPD_20C_L.csv
PPD_20C_M,9,3,PPD_20C_M.csv
PPD_20C_S,9,3,PPD_20C_S.csv
PPD_40C_L,9,3,PPD_40C_L.csv
PPD_40C_M,9,3,PPD_40C_M.csv
PPD_40C_S,9,3,PPD_40C_S.csv
PPD_4C_L,9,3,PPD_4C_L.csv
PPD_4C_M,9,3,PPD_4C_M.csv
PPD_4C_S,9,3,PPD_4C_S.csv
TEMP,1,3,TEMP.csv
